"","date","user_location","text","dat"
"142","21-08-2020 05:10","New Delhi, Delhi","We are talking about international clinical trials, which, in addition to #Russia, will be held in Saudi Arabia, th… https://t.co/FfL3ARCrpp",2021-08-20
"143","21-08-2020 04:57","New Delhi, India","Corona virus reached the stage of JO HOGA DEKHA JAYEGA 😂😂😂😂 #CovidVaccine #COVID19 #IndiaFightsCorona #India #Corona",2021-08-20
"144","21-08-2020 04:46","Kolkata , INDIA ","Corona Update in India!
Total Confirmed:2.86M
Active Cases:0.69M
Total Recovered: 2.12M
Total Deaths:54237
Updated… https://t.co/OmX3meP73q",2021-08-20
"145","21-08-2020 04:45","Kolkata, India","Corona Update in India!
Total Confirmed:2.86M
Active Cases:0.69M
Total Recovered: 2.12M
Total Deaths:54237
Updated… https://t.co/ssssVq3F9S",2021-08-20
"146","21-08-2020 04:42","Kolkata, India","Corona Update in India!
Total Confirmed:2.86M
Active Cases:0.69M
Total Recovered: 2.12M
Total Deaths:54237
Updated… https://t.co/XMnLNyRKap",2021-08-20
"147","21-08-2020 04:40","Kolkata","We don’t know how many lives will it claim but it surely had destroyed many families till now! #CovidVaccine plz sa… https://t.co/vmYnsHae2P",2021-08-20
"148","21-08-2020 04:30","İstanbul, Türkiye","CORONAVIRUS UPDATES - Turkey in talks with Germany, China, Russia on vaccine trials #COVID19tr #CovidVaccine… https://t.co/yWHGixA4lp",2021-08-20
"149","21-08-2020 03:41","decatur indiana","@danawhite long time fan here (since '97')...can we please see @MikeChandlerMMA  fight for the UFC before ...… https://t.co/4jj8ZfuFP1",2021-08-20
"150","21-08-2020 03:30","Dubbo, New South Wales","""I think the idea that one day soon we'll get a vaccine and we'll all go back to being normal is probably a little… https://t.co/qwUIQGAmk2",2021-08-20
"151","21-08-2020 02:00","Occupied Australia","Not just ""no jab, no pay,"" now they are saying ""no jab, no job.""

Remember when they called us ""conspiracy theorist… https://t.co/lH0aqIc1kO",2021-08-20
"152","21-08-2020 01:51","Bendigo, Victoria","Prime Minister @ScottMorrisonMP  is fast becoming a true expert in talking out of both sides of his mouth when it c… https://t.co/UGIGw5k6LS",2021-08-20
